session_id,participant_id,label,frame_index,timestamp,ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
5CDF6619-C006-42E1-9C55-8E29FA4AE8B4,primary,bounce,32,85131.5823,0.029205,0.033376,0.956854,1.656961,0.371634,0.094500,0.005646,-0.216100,-0.976355
5CDF6619-C006-42E1-9C55-8E29FA4AE8B4,primary,bounce,33,85131.5923,0.022525,0.006658,1.092903,1.244715,0.310390,0.067281,0.008847,-0.230382,-0.973060
5CDF6619-C006-42E1-9C55-8E29FA4AE8B4,primary,bounce,34,85131.6024,0.009751,0.003040,1.246990,0.779782,0.183102,0.015909,0.011200,-0.240283,-0.970638
5CDF6619-C006-42E1-9C55-8E29FA4AE8B4,primary,bounce,35,85131.6124,0.011935,0.001951,1.333991,0.335414,-0.016182,-0.042853,0.012082,-0.245679,-0.969276
5CDF6619-C006-42E1-9C55-8E29FA4AE8B4,primary,bounce,36,85131.6225,0.028272,-0.007463,1.367042,0.005639,-0.269045,-0.103909,0.010882,-0.247236,-0.968894
5CDF6619-C006-42E1-9C55-8E29FA4AE8B4,primary,bounce,37,85131.6325,0.039708,-0.012289,1.350190,-0.195322,-0.544605,-0.151911,0.007259,-0.246256,-0.969178
5CDF6619-C006-42E1-9C55-8E29FA4AE8B4,primary,bounce,38,85131.6426,0.039164,0.005488,1.307853,-0.340095,-0.790983,-0.176227,0.001088,-0.243617,-0.969871
5CDF6619-C006-42E1-9C55-8E29FA4AE8B4,primary,bounce,39,85131.6527,0.046209,0.042668,1.220489,-0.482836,-0.925509,-0.125062,-0.006964,-0.239629,-0.970840
5CDF6619-C006-42E1-9C55-8E29FA4AE8B4,primary,bounce,40,85131.6627,0.052220,0.080258,1.107353,-0.672339,-0.960088,-0.031645,-0.016056,-0.234020,-0.972099
5CDF6619-C006-42E1-9C55-8E29FA4AE8B4,primary,bounce,41,85131.6728,0.050289,0.100865,0.988075,-0.943070,-0.884898,0.087107,-0.025203,-0.226169,-0.973762
5CDF6619-C006-42E1-9C55-8E29FA4AE8B4,primary,bounce,42,85131.6828,0.038860,0.129405,0.843216,-1.309657,-0.708114,0.237635,-0.033428,-0.215128,-0.976014
5CDF6619-C006-42E1-9C55-8E29FA4AE8B4,primary,bounce,43,85131.6929,0.029249,0.168736,0.682272,-1.724269,-0.452610,0.398252,-0.039823,-0.200107,-0.978964
5CDF6619-C006-42E1-9C55-8E29FA4AE8B4,primary,bounce,44,85131.7030,0.015872,0.186382,0.529035,-2.129278,-0.241791,0.528180,-0.044055,-0.180919,-0.982511
5CDF6619-C006-42E1-9C55-8E29FA4AE8B4,primary,bounce,45,85131.7130,0.002211,0.181800,0.401621,-2.454379,-0.108327,0.608029,-0.046721,-0.157874,-0.986353
5CDF6619-C006-42E1-9C55-8E29FA4AE8B4,primary,bounce,46,85131.7231,-0.014800,0.162837,0.273636,-2.629482,-0.075686,0.600757,-0.048463,-0.132212,-0.990036
5CDF6619-C006-42E1-9C55-8E29FA4AE8B4,primary,bounce,47,85131.7331,-0.032796,0.140647,0.130934,-2.595913,-0.134323,0.529995,-0.050121,-0.105719,-0.993132
5CDF6619-C006-42E1-9C55-8E29FA4AE8B4,primary,bounce,48,85131.7432,-0.037314,0.114365,-0.012039,-2.336142,-0.302979,0.416843,-0.052682,-0.080688,-0.995346
5CDF6619-C006-42E1-9C55-8E29FA4AE8B4,primary,bounce,49,85131.7532,-0.035143,0.086796,-0.116794,-1.954736,-0.535595,0.289180,-0.057126,-0.058963,-0.996624
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,0,85132.0550,-0.026734,-0.036362,0.038375,0.072468,0.084413,-0.082106,-0.046645,-0.009094,-0.998870
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,1,85132.0650,-0.026816,-0.027902,0.034728,-0.047197,0.181002,-0.067760,-0.045297,-0.009268,-0.998931
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,2,85132.0751,-0.026944,-0.020614,0.046583,-0.152690,0.248062,-0.055676,-0.043109,-0.008271,-0.999036
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,3,85132.0852,-0.022652,-0.018837,0.058762,-0.223334,0.269982,-0.050679,-0.040458,-0.006385,-0.999161
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,4,85132.0952,-0.022803,-0.019240,0.076787,-0.255748,0.226243,-0.067868,-0.037927,-0.003983,-0.999273
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,5,85132.1053,-0.013902,-0.027452,0.094379,-0.252060,0.134757,-0.086496,-0.036086,-0.001433,-0.999348
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,6,85132.1153,-0.004685,-0.033589,0.098407,-0.221395,0.023702,-0.108424,-0.035278,0.000921,-0.999377
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,7,85132.1254,0.000333,-0.036484,0.090246,-0.196343,-0.068189,-0.137731,-0.035520,0.002961,-0.999365
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,8,85132.1355,0.001878,-0.038498,0.071998,-0.207707,-0.124806,-0.175141,-0.036531,0.004914,-0.999320
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,9,85132.1455,-0.001645,-0.038624,0.046012,-0.252552,-0.126450,-0.209219,-0.037829,0.007130,-0.999259
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,10,85132.1556,-0.000073,-0.037846,0.013530,-0.329503,-0.114215,-0.236072,-0.039066,0.009953,-0.999187
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,11,85132.1656,0.006866,-0.032995,-0.012529,-0.443542,-0.107427,-0.242770,-0.040176,0.013723,-0.999098
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,12,85132.1757,0.014914,-0.031270,-0.034135,-0.587736,-0.156984,-0.225639,-0.041510,0.018789,-0.998961
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,13,85132.1857,0.024816,-0.031104,-0.064259,-0.735201,-0.244669,-0.186933,-0.043554,0.025352,-0.998729
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,14,85132.1958,0.037303,-0.042419,-0.119576,-0.857917,-0.349486,-0.144755,-0.046580,0.033295,-0.998360
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,15,85132.2059,0.042052,-0.057842,-0.222733,-0.937769,-0.470088,-0.119136,-0.050719,0.042278,-0.997818
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,16,85132.2159,0.026761,-0.057110,-0.364510,-0.955225,-0.615110,-0.121874,-0.056196,0.051754,-0.997078
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,17,85132.2260,-0.014595,-0.006537,-0.535222,-0.874178,-0.724170,-0.156071,-0.063041,0.060920,-0.996150
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,18,85132.2360,-0.065335,0.064786,-0.756040,-0.631299,-0.717922,-0.211177,-0.070438,0.068439,-0.995166
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,19,85132.2461,-0.089036,0.119175,-0.970264,-0.270239,-0.690490,-0.290333,-0.077621,0.072812,-0.994321
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,20,85132.2561,-0.093265,0.161798,-1.089926,0.176535,-0.628962,-0.389360,-0.084546,0.073050,-0.993738
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,21,85132.2662,-0.071531,0.180503,-1.161991,0.670177,-0.436339,-0.457102,-0.090304,0.068475,-0.993557
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,22,85132.2763,-0.063573,0.181633,-1.263942,1.241801,0.076873,-0.493163,-0.092662,0.058510,-0.993977
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,23,85132.2863,-0.074171,0.196380,-1.349702,1.787111,0.823370,-0.471388,-0.088411,0.042863,-0.995161
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,24,85132.2964,-0.067294,0.240846,-1.260642,2.249680,1.439926,-0.363601,-0.077116,0.022246,-0.996774
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,25,85132.3064,-0.065347,0.289194,-0.968274,2.617187,1.814875,-0.241868,-0.060645,-0.002451,-0.998156
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,26,85132.3165,-0.073848,0.326673,-0.591504,2.879985,1.918724,-0.104688,-0.041661,-0.030210,-0.998675
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,27,85132.3266,-0.072902,0.355655,-0.181097,3.059363,1.653626,0.024690,-0.023458,-0.060062,-0.997919
1FCA8199-96E1-4E1D-9E56-F5C2279F2E49,primary,bounce,28,85132.3366,-0.054938,0.337358,0.263956,3.175520,1.017798,0.037569,-0.009912,-0.091371,-0.995768
